	标题	链接	信息
0	"理解一张照片


    
       : 约翰·伯格论摄影"	https://book.douban.com/subject/27176353/	[英] 约翰·伯格 / 任悦 / 理想国丨中国美术学院出版社 / 2018-3 / 59.00元
1	"论摄影


    
       : 插图珍藏本"	https://book.douban.com/subject/4282084/	[美] 苏珊·桑塔格 / 黄灿然 / 上海译文出版社 / 2010-5 / 38.00元
2	"一生的凝视


    
       : 摄影大师简·鲍恩精选集"	https://book.douban.com/subject/30237193/	[英] 简 ·鲍恩 摄、[英] 卢克·多德 编 / 钱卫 / 后浪丨湖南美术出版社 / 2018-10 / 280.00元
3	"美国纽约摄影学院摄影教材（上册）


    
       : 最新修订版"	https://book.douban.com/subject/3990022/	美国纽约摄影学院 / 中国摄影出版社 / 中国摄影出版社 / 2010-8 / 98.00元
4	美国纽约摄影学院摄影教材（上）	https://book.douban.com/subject/1007928/	美国纽约摄影学院 / 李之聪/李孝贤/魏学礼/俞士忠 / 中国摄影出版社 / 2000-03 / 90.00
5	摄影构图学	https://book.douban.com/subject/1779243/	【美】本·克来门茨、大卫·罗森菲尔德 / 姜雯、林少忠 / 长城出版社 / 1983-1
6	"荒野之歌


    
       : 国际野生生物摄影年赛精选"	https://book.douban.com/subject/27054715/	[英] 罗莎蒙德·基德曼·考克斯 / 钱卫 / 后浪丨北京联合出版公司 / 2017-7 / 180.00元
7	摄影的艺术	https://book.douban.com/subject/10511063/	Bruce Barnbaum / 人民邮电出版社 / 2012-2-1 / 118.00元
8	风和日丽(清新人像写真术)	https://book.douban.com/subject/30357812/	加菓 / 电子工业出版社 / 2018-9-1 / 79
9	摄影小史	https://book.douban.com/subject/27608151/	[德]瓦尔特·本雅明 / 许绮玲、林志明 / 理想国 | 广西师范大学出版社 / 2017-12 / 39.00元
10	摄影构图与色彩设计	https://book.douban.com/subject/4062254/	[德]拉尔德·曼特 / 赵嫣、梅叶挺、梅蒋巧 / 中国青年出版社 / 2009-9 / 78.00元
11	"我与这个世界的距离


    
       : 薇薇安·迈尔自拍精选摄影集"	https://book.douban.com/subject/27024906/	[美]薇薇安·迈尔、[美]约翰·马卢夫 / oneone / 九州出版社 / 2017-8-1 / 88.00
12	"美国纽约摄影学院摄影教材（下册）


    
       : 最新修订版"	https://book.douban.com/subject/3990023/	美国纽约摄影学院 / 中国摄影出版社 / 中国摄影出版社 / 2010-8 / 98.00元
13	"摄影师的视界


    
       : 迈克尔·弗里曼摄影构图与设计"	https://book.douban.com/subject/4048631/	[英] 迈克尔·弗里曼(Michael Freeman) / 张靖峻 / 人民邮电出版社 / 2009-9 / 88.00元
14	拍出绝世光线：摄影师的完美用光技巧解密	https://book.douban.com/subject/27043843/	[美] 罗伯特·巴伦苏埃拉 / 人民邮电出版社 / 2017-5 / 128.00元
15	十九岁的时差	https://book.douban.com/subject/30314590/	王俊凯 / 新星 / 2018-8 / 88.00元
16	观看之道	https://book.douban.com/subject/1017818/	[英] 约翰·伯格 / 戴行钺 / 广西师范大学出版社 / 2007-9 / 18.00元
17	直到长出青苔	https://book.douban.com/subject/10738211/	杉本博司 / 黄亚纪 / 广西师范大学出版社 / 2012-5-1 / CNY 68.00
18	"拍出绝世美姿


    
       : 摄影师与模特的完美摆姿技巧解密"	https://book.douban.com/subject/26334907/	Roberto Valenzuela / 马雁翔 / 人民邮电出版社 / 2015-1-1 / 98
19	美国纽约摄影学院摄影教材（下）	https://book.douban.com/subject/1039460/	美国纽约摄影学院 / 李之聪/李孝贤/魏学礼/俞士忠 / 中国摄影出版社 / 2000-05 / 90.00元
20	永恒的时光之旅	https://book.douban.com/subject/26698223/	[日] 星野道夫 / 游韵馨 / 广西师范大学出版社 / 2016-1 / 79.00元
21	手机摄影从小白到大师	https://book.douban.com/subject/30379616/	王鹏鹏、叶明 / 北京大学出版社 / 2018-11 / 88.00
22	火车上的中国人	https://book.douban.com/subject/27042393/	王福春 / 后浪丨北京联合出版公司 / 2017-6 / 160.00元
23	"明室


    
       : 摄影纵横谈"	https://book.douban.com/subject/1287508/	(法)罗兰.巴特 / 赵克非 / 文化艺术出版社 / 2003-1-1 / 18.00
24	决斗写真论	https://book.douban.com/subject/27045282/	[日] 筱山纪信、[日] 中平卓马 / 黄亚纪 / 理想国｜广西师范大学出版社 / 2017-5 / 82.00元
25	海上灵光	https://book.douban.com/subject/24878152/	许嵩 / 安徽美术出版社 / 2013-8 / 49
26	失焦	https://book.douban.com/subject/27156016/	[匈]罗伯特·卡帕 / 徐振锋 / 广西师范大学出版社 / 2017-10-1 / 52.00
27	"雕刻光线


    
       : 小型闪光灯的超极限应用"	https://book.douban.com/subject/24152951/	麦克纳利 / 人民邮电出版社 / 2013-5 / 138.00元
28	私摄影论	https://book.douban.com/subject/30370962/	[日] 饭泽耕太郎 / 林叶 / 浦睿文化·湖南美术出版社 / 2018-11 / 52.00 元
29	在漫长的旅途中	https://book.douban.com/subject/3765620/	星野道夫 / 蔡昭仪 / 上海人民出版社 / 2010-02 / 29.00
30	候场	https://book.douban.com/subject/27591504/	[英] 西蒙·安纳德 / 茅越宁 / 新星出版社 / 2017-11 / 188.00元
31	"我见


    
       : 马克·吕布纪实经典"	https://book.douban.com/subject/26209381/	[法]马克·吕布 / 孟蕤 / 世界图书出版公司·后浪出版公司 / 2015-1 / 128.00元
32	读	https://book.douban.com/subject/26602756/	(法) 玛格南图片社、读库 编选 / 读库 / 新星出版社 / 2015-8 / 68
33	"热靴日记


    
       : 小型闪光灯的创造性应用"	https://book.douban.com/subject/4280762/	乔·麦克纳利 / 何大鹏 / 人民邮电出版社 / 2010-2 / 89.00元
34	"明室


    
       : 摄影札记"	https://book.douban.com/subject/6068109/	[法]罗兰·巴尔特 / 赵克非 / 中国人民大学出版社 / 2011-3 / 19.80元
35	汤加丽人体艺术写真	https://book.douban.com/subject/1536706/	张旭龙 摄影 / 人民美术出版社 / 2002-9 / 68.00元
36	摄影师	https://book.douban.com/subject/26870760/	[法]埃曼努埃尔·吉贝尔(编绘)、[法]迪迪埃·勒费伍尔(摄/口述)、[法]弗雷德里克·勒梅西埃(绘) / 余轶 / 北京联合出版公司·后浪出版公司 / 2016-10 / 188.00元
37	昨天的中国	https://book.douban.com/subject/26274949/	阎雷 (Yann Layma) / 杨宁 / 北京联合出版公司 / 2015-3-1 / CNY 128.00
38	摄影笔记	https://book.douban.com/subject/26602858/	宁思潇潇 / 人民邮电出版社 / 2015-8-1 / 69.00元
39	一本摄影书	https://book.douban.com/subject/10426611/	赵嘉、爱摄影工社 / 电子工业出版社 / 2012-2 / 98.00元
40	东京日和	https://book.douban.com/subject/10587562/	[日] 荒木经惟、[日] 荒木阳子 / 罗嘉 / 重庆大学出版社/楚尘文化 / 2013-1 / 68.00元
41	被人遗忘的人：中国精神病人生存状况	https://book.douban.com/subject/3032690/	吕楠 / 中国图书出版社 / 2008 / 288元
42	"珍藏布列松


    
       : 亨利•卡蒂埃-布列松作品全收录"	https://book.douban.com/subject/4265526/	亨利•卡蒂埃-布列松基金会 / 刘莉、张晓 / 中国摄影出版社 / 2010.5 / 258.00元
43	笨牛人体艺术摄影	https://book.douban.com/subject/1521239/	笨牛 摄 / 岭南美术出版社 / 2002-6 / 68.00元
44	摄影哲学的思考	https://book.douban.com/subject/27614599/	[巴西]威廉·弗卢塞尔 / 毛卫东、丁君君 / 中国民族摄影艺术出版社 / 2017-12 / 42.00元
45	走来走去	https://book.douban.com/subject/26796558/	刘涛、Lens / 中信出版集团 / 2016-6 / 68.00
46	"失焦


    
       : 卡帕战地摄影手记"	https://book.douban.com/subject/1270508/	[匈] 罗伯特·卡帕 / 徐振锋 / 广西师范大学出版社 / 2005-3 / 18.00元
47	最后的耍猴人	https://book.douban.com/subject/26291984/	马宏杰 / 浙江人民出版社 / 2015-3-1 / CNY 39.80
48	"以眼说话


    
       : 影像视觉原理及应用 （插图第2版）"	https://book.douban.com/subject/10801135/	（美）布鲁斯·布洛克（Bruce A. Block） / 汪弋岚 / 世界图书出版公司·后浪出版公司 / 2012-9 / 68.00元
49	失明的摄影师	https://book.douban.com/subject/30259150/	[英] 朱利安·罗森斯坦、[英] 坎迪亚·麦克威廉、[英] 梅尔·古丁 编著 / 陈觅 / 新星出版社 / 2018-8-1 / 128
50	那一天	https://book.douban.com/subject/25904481/	(法) 维利·罗尼 / 赵朝泉 / 广西师范大学出版社 / 2014-12 / 49.00
51	"视觉之旅


    
       : 摄影的视角培养与构图思想"	https://book.douban.com/subject/4852397/	David duChemin / 汪梅子 / 人民邮电出版社 / 2010-6 / 79.00元
52	失落的优雅	https://book.douban.com/subject/24875976/	阮义忠 / 中国华侨出版社 / 2013-8 / 39.80元
53	卡帕 : 战地流星	https://book.douban.com/subject/30389721/	[法] 弗洛朗·西洛雷 / 张健 / 后浪丨四川文艺出版社 / 2019-3 / 88.00元
54	"光影创作课


    
       : 21位电影摄影大师的现场教学"	https://book.douban.com/subject/26371256/	[法]邦雅曼·贝热里 / 刘欣、唐强 / 世界图书出版公司·后浪出版公司 / 2015-6-1 / 128.00元
55	我爱这哭不出来的浪漫	https://book.douban.com/subject/25913058/	严明 / 广西师范大学出版社 / 2014-7-1 / 35.00
56	"美国摄影用光教程


    
       : 棚拍中强聚光的应用"	https://book.douban.com/subject/3206941/	Fil Hunter、Steven Biver、Paul Fuqua / 刘炳燕 / 人民邮电出版社 / 2008-9 / 59.00元
57	"聚焦


    
       : 摄影在中国"	https://book.douban.com/subject/27219599/	巫鸿 / 理想国 | 中国民族摄影艺术出版社 / 2017-12-1 / 88.00元
58	"瞬间的背后


    
       : 乔·麦克纳利经典传奇照片解密"	https://book.douban.com/subject/3544984/	乔·麦克纳利 / 何大鹏 / 人民邮电出版社 / 2009-2 / 69.00元
59	"見證：改革開放三十年


    
       : China’s Thirty Years"	https://book.douban.com/subject/4209565/	中國攝影師協會 / 牛津大學出版社 / 2009-11 / HK$398
60	追光之旅：用光作画，拍出你的风光大片	https://book.douban.com/subject/30376348/	凌志军 / 湖南文艺出版社 / 2018-10 / 128
