score,name,url,info,excerpt,rater
9.7,"


    拍出绝世光线：摄影师的完美用光技巧解密





",https://book.douban.com/subject/27043843/,[美] 罗伯特·巴伦苏埃拉 / 人民邮电出版社 / 2017-5 / 128.00元,光是所有影像创作的根本。它是摄影的DNA。光可以把平淡的景物或人像变得无法言喻的美好。对大多数摄影师来说，摄影用光也是容易误解和令人生畏的课题。这本书，就是...,(46人评价)
9.5,"


    荒野之歌



       : 国际野生生物摄影年赛精选

",https://book.douban.com/subject/27054715/,[英] 罗莎蒙德·基德曼·考克斯 / 钱卫 / 后浪丨北京联合出版公司 / 2017-7 / 180.00元,本书呈现的是野生生物摄影中的顶尖之作，它们来自十位自然摄影大师。每位摄影师都曾赢得国际野生生物摄影年赛（Wildlife Photographer of t...,
9.2,"


    美国纽约摄影学院摄影教材（上册）



       : 最新修订版

",https://book.douban.com/subject/3990022/,美国纽约摄影学院 / 中国摄影出版社 / 中国摄影出版社 / 2010-8 / 98.00元,《美国纽约摄影学院摄影教材(最新修订版)(上册)》内容简介：一本经久实用的教材总是引导我们去把握摄影作晶与影像之外的时空所形成的各种相互冲突和相互生成的关系...,
9.2,"


    永恒的时光之旅





",https://book.douban.com/subject/26698223/,[日] 星野道夫 / 游韵馨 / 广西师范大学出版社 / 2016-1 / 79.00元,《永恒的时光之旅》收录星野道夫未公开摄影作品及西伯利亚绝笔日记 ，是对星野道夫史诗般摄影生涯的回顾和致敬。星野道夫用镜头扑捉自然的至美和生命的脆弱与坚强，用...,(1319人评价)
9.1,"


    美国纽约摄影学院摄影教材（上）





",https://book.douban.com/subject/1007928/,美国纽约摄影学院 / 李之聪/李孝贤/魏学礼/俞士忠 / 中国摄影出版社 / 2000-03 / 90.00,"上册
引言
第一单元
第1课 摄影家的眼力
1.1 摄影家的眼力
1.2 好照片要有主题
1.3 一幅好照片要有一个能吸引注意力的主体
1.4 好照片画面要...",(9585人评价)
9.1,"


    我与这个世界的距离



       : 薇薇安·迈尔自拍精选摄影集

",https://book.douban.com/subject/27024906/,[美]薇薇安·迈尔、[美]约翰·马卢夫 / oneone / 九州出版社 / 2017-8-1 / 88.00,"谁是薇薇安·迈尔？这个隐没于公众视野之外近60年的神秘摄影师，自曝光以来，总被人们这样问起。
这本自拍摄影集《我与这个世界的距离》，精选近100张薇薇安·迈...",
9.0,"


    摄影构图学





",https://book.douban.com/subject/1779243/,【美】本·克来门茨、大卫·罗森菲尔德 / 姜雯、林少忠 / 长城出版社 / 1983-1,这本书看似年代久远，但在当时是最全面和系统的佳作，特别是为了培养摄影者敏锐的观察能力和提高其审美能力，作者提出的多种实验手段和训练方法，更是匠心独造。读者如...,(1392人评价)
9.0,"


    美国纽约摄影学院摄影教材（下册）



       : 最新修订版

",https://book.douban.com/subject/3990023/,美国纽约摄影学院 / 中国摄影出版社 / 中国摄影出版社 / 2010-8 / 98.00元,美国纽约摄影学院摄影教材·下（最新修订版），ISBN：9787802363595，作者：美国纽约摄影学院 著，中国摄影出版社 译,
9.0,"


    十九岁的时差





",https://book.douban.com/subject/30314590/,王俊凯 / 新星 / 2018-8 / 88.00元,图文传记。,(1894人评价)
8.9,"


    拍出绝世美姿



       : 摄影师与模特的完美摆姿技巧解密

",https://book.douban.com/subject/26334907/,Roberto Valenzuela / 马雁翔 / 人民邮电出版社 / 2015-1-1 / 98,一幅优秀的人像摄影作品往往很大程度上取决于模特，模特的视线方向、表情神态、摆姿站位等一系列元素都是展现人物情感、表现作品主题的关键，其次才是摄影师的摄影技术...,
