score,name,url,info,rater,channel
,,,,,
6.8,"


    请把我留在最好的时光里





",https://book.douban.com/subject/20393127/,莫梵稀 / 上海文化出版社 / 2012-12-21 / 36.00元,       (1519人评价),纸质版 25.70 元起
7.8,"


    荒木经惟的天才写真术





",https://book.douban.com/subject/5502934/,[日] 荒木经惟 / 柯宛汶 / 甘肃人民美术出版社 / 2011-3 / 35.00元,       (3250人评价),"




"
7.9,"


    我爱这哭不出来的浪漫





",https://book.douban.com/subject/25913058/,严明 / 广西师范大学出版社 / 2014-7-1 / 35.00,       (3044人评价),"纸质版 26.20 元起




去看电子版"
7.9,"


    我们始终牵手旅行





",https://book.douban.com/subject/11506941/,左手/著、张千里/摄 / 光明日报出版社 / 2012-8 / 39.80元,       (5268人评价),纸质版 25.90 元起
8.2,"


    明室



       : 摄影纵横谈

",https://book.douban.com/subject/1287508/,(法)罗兰.巴特 / 赵克非 / 文化艺术出版社 / 2003-1-1 / 18.00,,"




"
8.3,"


    失落的优雅





",https://book.douban.com/subject/24875976/,阮义忠 / 中国华侨出版社 / 2013-8 / 39.80元,       (1475人评价),"




"
8.5,"


    二十位人性见证者



       : 当代摄影大师

",https://book.douban.com/subject/1870003/,阮义忠 / 生活·读书·新知三联书店 / 2006-7 / 41.00元,,"




"
8.7,"


    失焦



       : 卡帕战地摄影手记

",https://book.douban.com/subject/1270508/,[匈] 罗伯特·卡帕 / 徐振锋 / 广西师范大学出版社 / 2005-3 / 18.00元,,纸质版 11.70 元起
8.7,"


    一次・图片和故事





",https://book.douban.com/subject/1035326/,维姆・文德斯 / 崔峤、吕晋 / 广西师范大学出版社 / 2004-04 / 58.00,       (3668人评价),"




"
8.7,"


    在漫长的旅途中





",https://book.douban.com/subject/3765620/,星野道夫 / 蔡昭仪 / 上海人民出版社 / 2010-02 / 29.00,       (4935人评价),纸质版 30.70 元起
8.8,"


    论摄影



       : 插图珍藏本

",https://book.douban.com/subject/4282084/,[美] 苏珊·桑塔格 / 黄灿然 / 上海译文出版社 / 2010-5 / 38.00元,,"




在豆瓣购买



去看电子版

"
8.8,"


    我的野生动物朋友





",https://book.douban.com/subject/1017563/,[法] 蒂皮·德格雷 著、阿兰·德格雷 茜尔维·罗伯特 图 / 黄天源 / 云南教育出版社 / 2002-6 / 29.00元,       (5934人评价),纸质版 14.20 元起
8.8,"


    论摄影





",https://book.douban.com/subject/2381950/,[美] 苏珊·桑塔格 / 黄灿然 / 上海译文出版社 / 2008-1 / 22.00元,       (3527人评价),"





去看电子版

"
8.8,"


    家庭日记



       : 森友治家的故事

",https://book.douban.com/subject/10440130/,[日] 森友治 / 渠海霞 / 中国摄影出版社 / 2012-2 / 69.00元,,纸质版 41.40 元起
9.0,"


    美国纽约摄影学院摄影教材（下）





",https://book.douban.com/subject/1039460/,美国纽约摄影学院 / 李之聪/李孝贤/魏学礼/俞士忠 / 中国摄影出版社 / 2000-05 / 90.00元,       (3464人评价),"




"
9.0,"


    摄影构图学





",https://book.douban.com/subject/1779243/,【美】本·克来门茨、大卫·罗森菲尔德 / 姜雯、林少忠 / 长城出版社 / 1983-1,       (1392人评价),"




"
9.1,"


    美国纽约摄影学院摄影教材（上）





",https://book.douban.com/subject/1007928/,美国纽约摄影学院 / 李之聪/李孝贤/魏学礼/俞士忠 / 中国摄影出版社 / 2000-03 / 90.00,       (9585人评价),"




"
9.2,"


    永恒的时光之旅





",https://book.douban.com/subject/26698223/,[日] 星野道夫 / 游韵馨 / 广西师范大学出版社 / 2016-1 / 79.00元,       (1319人评价),"




在豆瓣购买


"
9.2,"


    美国纽约摄影学院摄影教材（上册）



       : 最新修订版

",https://book.douban.com/subject/3990022/,美国纽约摄影学院 / 中国摄影出版社 / 中国摄影出版社 / 2010-8 / 98.00元,,"




在豆瓣购买


"
9.5,"


    荒野之歌



       : 国际野生生物摄影年赛精选

",https://book.douban.com/subject/27054715/,[英] 罗莎蒙德·基德曼·考克斯 / 钱卫 / 后浪丨北京联合出版公司 / 2017-7 / 180.00元,,"




在豆瓣购买


"
